State,Year,Population
AL,2009,4757938.0
AK,2009,698895.0
AZ,2009,6343154.0
AR,2009,2896843.0
CA,2009,36961229.0
CO,2009,4972195.0
CT,2009,3561807.0
DE,2009,891730.0
DC,2009,592228.0
FL,2009,18652644.0
GA,2009,9620846.0
HI,2009,1346717.0
ID,2009,1554439.0
IL,2009,12796778.0
IN,2009,6459325.0
IA,2009,3032870.0
KS,2009,2832704.0
KY,2009,4317074.0
LA,2009,4491648.0
ME,2009,1329590.0
MD,2009,5730388.0
MA,2009,6517613.0
MI,2009,9901591.0
MN,2009,5281203.0
MS,2009,2958774.0
MO,2009,5961088.0
MT,2009,983982.0
NE,2009,1812683.0
NV,2009,2684665.0
NH,2009,1316102.0
NJ,2009,8755602.0
NM,2009,2036802.0
NY,2009,19307066.0
NC,2009,9449566.0
ND,2009,664968.0
OH,2009,11528896.0
OK,2009,3717572.0
OR,2009,3808600.0
PA,2009,12666858.0
RI,2009,1053646.0
SC,2009,4589872.0
SD,2009,807067.0
TN,2009,6306019.0
TX,2009,24801761.0
UT,2009,2723421.0
VT,2009,624817.0
VA,2009,7925937.0
WA,2009,6667426.0
WV,2009,1847775.0
WI,2009,5669264.0
WY,2009,559851.0
AL,2010,4785448.0
AK,2010,713906.0
AZ,2010,6407774.0
AR,2010,2921978.0
CA,2010,37320903.0
CO,2010,5048281.0
CT,2010,3579125.0
DE,2010,899595.0
DC,2010,605085.0
FL,2010,18845785.0
GA,2010,9711810.0
HI,2010,1363963.0
ID,2010,1570773.0
IL,2010,12840762.0
IN,2010,6490436.0
IA,2010,3050767.0
KS,2010,2858213.0
KY,2010,4348200.0
LA,2010,4544532.0
ME,2010,1327632.0
MD,2010,5788642.0
MA,2010,6566431.0
MI,2010,9877535.0
MN,2010,5310843.0
MS,2010,2970536.0
MO,2010,5995976.0
MT,2010,990722.0
NE,2010,1829536.0
NV,2010,2702464.0
NH,2010,1316777.0
NJ,2010,8799624.0
NM,2010,2064588.0
NY,2010,19400080.0
NC,2010,9574293.0
ND,2010,674710.0
OH,2010,11539327.0
OK,2010,3759632.0
OR,2010,3837532.0
PA,2010,12711158.0
RI,2010,1053938.0
SC,2010,4635656.0
SD,2010,816165.0
TN,2010,6355301.0
TX,2010,25242679.0
UT,2010,2775334.0
VT,2010,625880.0
VA,2010,8023680.0
WA,2010,6742902.0
WV,2010,1854214.0
WI,2010,5690479.0
WY,2010,564483.0
AL,2011,4798834.0
AK,2011,722038.0
AZ,2011,6473497.0
AR,2011,2940407.0
CA,2011,37641823.0
CO,2011,5121771.0
CT,2011,3588023.0
DE,2011,907316.0
DC,2011,619602.0
FL,2011,19093352.0
GA,2011,9801578.0
HI,2011,1379252.0
ID,2011,1583828.0
IL,2011,12867291.0
IN,2011,6516045.0
IA,2011,3066054.0
KS,2011,2869035.0
KY,2011,4369488.0
LA,2011,4575184.0
ME,2011,1328150.0
MD,2011,5838991.0
MA,2011,6613149.0
MI,2011,9881521.0
MN,2011,5345668.0
MS,2011,2978470.0
MO,2011,6009641.0
MT,2011,997221.0
NE,2011,1840538.0
NV,2011,2712799.0
NH,2011,1319815.0
NJ,2011,8827783.0
NM,2011,2080395.0
NY,2011,19498514.0
NC,2011,9656754.0
ND,2011,685136.0
OH,2011,11543463.0
OK,2011,3787821.0
OR,2011,3871728.0
PA,2011,12744583.0
RI,2011,1053536.0
SC,2011,4671422.0
SD,2011,823484.0
TN,2011,6397410.0
TX,2011,25646227.0
UT,2011,2814216.0
VT,2011,626979.0
VA,2011,8100469.0
WA,2011,6821655.0
WV,2011,1856074.0
WI,2011,5704755.0
WY,2011,567224.0
AL,2012,4815564.0
AK,2012,730399.0
AZ,2012,6556629.0
AR,2012,2952109.0
CA,2012,37960782.0
CO,2012,5193721.0
CT,2012,3594395.0
DE,2012,915188.0
DC,2012,634725.0
FL,2012,19326230.0
GA,2012,9901496.0
HI,2012,1394905.0
ID,2012,1595441.0
IL,2012,12884119.0
IN,2012,6537640.0
IA,2012,3076097.0
KS,2012,2885361.0
KY,2012,4386381.0
LA,2012,4600814.0
ME,2012,1327691.0
MD,2012,5887072.0
MA,2012,6663158.0
MI,2012,9896930.0
MN,2012,5376550.0
MS,2012,2983767.0
MO,2012,6024081.0
MT,2012,1003754.0
NE,2012,1853323.0
NV,2012,2744566.0
NH,2012,1323962.0
NJ,2012,8845483.0
NM,2012,2087549.0
NY,2012,19574549.0
NC,2012,9749123.0
ND,2012,701116.0
OH,2012,11548369.0
OK,2012,3818600.0
OR,2012,3899118.0
PA,2012,12766827.0
RI,2012,1054601.0
SC,2012,4717112.0
SD,2012,833496.0
TN,2012,6451281.0
TX,2012,26089620.0
UT,2012,2853467.0
VT,2012,626063.0
VA,2012,8185229.0
WA,2012,6892876.0
WV,2012,1856764.0
WI,2012,5719855.0
WY,2012,576270.0
AL,2013,4830460.0
AK,2013,737045.0
AZ,2013,6634999.0
AR,2013,2959549.0
CA,2013,38280824.0
CO,2013,5270482.0
CT,2013,3594915.0
DE,2013,923638.0
DC,2013,650431.0
FL,2013,19563166.0
GA,2013,9973326.0
HI,2013,1408453.0
ID,2013,1611530.0
IL,2013,12898269.0
IN,2013,6568367.0
IA,2013,3093078.0
KS,2013,2893510.0
KY,2013,4404817.0
LA,2013,4624577.0
ME,2013,1328196.0
MD,2013,5923704.0
MA,2013,6713944.0
MI,2013,9913349.0
MN,2013,5413693.0
MS,2013,2988797.0
MO,2013,6040658.0
MT,2013,1013564.0
NE,2013,1865414.0
NV,2013,2776972.0
NH,2013,1326408.0
NJ,2013,8858362.0
NM,2013,2092792.0
NY,2013,19628043.0
NC,2013,9843599.0
ND,2013,721999.0
OH,2013,11576576.0
OK,2013,3853205.0
OR,2013,3922908.0
PA,2013,12776621.0
RI,2013,1055122.0
SC,2013,4764153.0
SD,2013,842270.0
TN,2013,6493432.0
TX,2013,26489464.0
UT,2013,2897927.0
VT,2013,626212.0
VA,2013,8253053.0
WA,2013,6962906.0
WV,2013,1853873.0
WI,2013,5736952.0
WY,2013,582123.0
AL,2014,4842481.0
AK,2014,736307.0
AZ,2014,6733840.0
AR,2014,2967726.0
CA,2014,38625139.0
CO,2014,5351218.0
CT,2014,3594783.0
DE,2014,932596.0
DC,2014,662513.0
FL,2014,19860330.0
GA,2014,10069001.0
HI,2014,1414862.0
ID,2014,1631479.0
IL,2014,12888962.0
IN,2014,6593533.0
IA,2014,3109504.0
KS,2014,2900896.0
KY,2014,4414483.0
LA,2014,4644204.0
ME,2014,1330760.0
MD,2014,5958165.0
MA,2014,6763652.0
MI,2014,9930589.0
MN,2014,5451522.0
MS,2014,2990623.0
MO,2014,6056293.0
MT,2014,1021891.0
NE,2014,1879522.0
NV,2014,2819012.0
NH,2014,1333223.0
NJ,2014,8866780.0
NM,2014,2090342.0
NY,2014,19656330.0
NC,2014,9933944.0
ND,2014,737382.0
OH,2014,11602973.0
OK,2014,3878367.0
OR,2014,3964106.0
PA,2014,12789101.0
RI,2014,1056017.0
SC,2014,4823793.0
SD,2014,849088.0
TN,2014,6540826.0
TX,2014,26977142.0
UT,2014,2937399.0
VT,2014,625218.0
VA,2014,8312076.0
WA,2014,7052439.0
WV,2014,1849467.0
WI,2014,5751974.0
WY,2014,582548.0
AL,2015,4853160.0
AK,2015,737547.0
AZ,2015,6833596.0
AR,2015,2978407.0
CA,2015,38953142.0
CO,2015,5452107.0
CT,2015,3587509.0
DE,2015,941413.0
DC,2015,675254.0
FL,2015,20224249.0
GA,2015,10181111.0
HI,2015,1422484.0
ID,2015,1651523.0
IL,2015,12864342.0
IN,2015,6608296.0
IA,2015,3121460.0
KS,2015,2909502.0
KY,2015,4425999.0
LA,2015,4664851.0
ME,2015,1328484.0
MD,2015,5986717.0
MA,2015,6795891.0
MI,2015,9932573.0
MN,2015,5482503.0
MS,2015,2988693.0
MO,2015,6071745.0
MT,2015,1030503.0
NE,2015,1891507.0
NV,2015,2868666.0
NH,2015,1336294.0
NJ,2015,8870869.0
NM,2015,2090211.0
NY,2015,19661411.0
NC,2015,10033079.0
ND,2015,754022.0
OH,2015,11617850.0
OK,2015,3909831.0
OR,2015,4016918.0
PA,2015,12785759.0
RI,2015,1056173.0
SC,2015,4892253.0
SD,2015,853933.0
TN,2015,6590808.0
TX,2015,27486814.0
UT,2015,2982497.0
VT,2015,625197.0
VA,2015,8362907.0
WA,2015,7163543.0
WV,2015,1841996.0
WI,2015,5761406.0
WY,2015,585668.0
AL,2016,4864745.0
AK,2016,741504.0
AZ,2016,6945452.0
AR,2016,2990410.0
CA,2016,39209127.0
CO,2016,5540921.0
CT,2016,3578674.0
DE,2016,949216.0
DC,2016,686575.0
FL,2016,20629982.0
GA,2016,10304763.0
HI,2016,1428105.0
ID,2016,1682930.0
IL,2016,12826895.0
IN,2016,6633344.0
IA,2016,3131785.0
KS,2016,2911263.0
KY,2016,4438229.0
LA,2016,4678215.0
ME,2016,1331370.0
MD,2016,6004692.0
MA,2016,6826022.0
MI,2016,9951890.0
MN,2016,5523409.0
MS,2016,2988298.0
MO,2016,6087203.0
MT,2016,1040863.0
NE,2016,1905924.0
NV,2016,2919772.0
NH,2016,1342373.0
NJ,2016,8874516.0
NM,2016,2092789.0
NY,2016,19641589.0
NC,2016,10156679.0
ND,2016,754353.0
OH,2016,11635003.0
OK,2016,3926769.0
OR,2016,4091404.0
PA,2016,12783538.0
RI,2016,1057063.0
SC,2016,4958235.0
SD,2016,862890.0
TN,2016,6645011.0
TX,2016,27937492.0
UT,2016,3042613.0
VT,2016,623644.0
VA,2016,8410946.0
WA,2016,7294680.0
WV,2016,1830929.0
WI,2016,5772958.0
WY,2016,584290.0
AL,2017,4875120.0
AK,2017,739786.0
AZ,2017,7048876.0
AR,2017,3002997.0
CA,2017,39399349.0
CO,2017,5615902.0
CT,2017,3573880.0
DE,2017,957078.0
DC,2017,695691.0
FL,2017,20976812.0
GA,2017,10413055.0
HI,2017,1424203.0
ID,2017,1718904.0
IL,2017,12786196.0
IN,2017,6660082.0
IA,2017,3143637.0
KS,2017,2910689.0
KY,2017,4453874.0
LA,2017,4670818.0
ME,2017,1335063.0
MD,2017,6024891.0
MA,2017,6863246.0
MI,2017,9976447.0
MN,2017,5568155.0
MS,2017,2989663.0
MO,2017,6108612.0
MT,2017,1053090.0
NE,2017,1917575.0
NV,2017,2972405.0
NH,2017,1349767.0
NJ,2017,8888543.0
NM,2017,2093395.0
NY,2017,19590719.0
NC,2017,10270800.0
ND,2017,755176.0
OH,2017,11664129.0
OK,2017,3932640.0
OR,2017,4146592.0
PA,2017,12790447.0
RI,2017,1056486.0
SC,2017,5021219.0
SD,2017,873286.0
TN,2017,6708794.0
TX,2017,28322717.0
UT,2017,3103118.0
VT,2017,624525.0
VA,2017,8465207.0
WA,2017,7425432.0
WV,2017,1817048.0
WI,2017,5792051.0
WY,2017,578934.0
AL,2018,4887871.0
AK,2018,737438.0
AZ,2018,7171646.0
AR,2018,3013825.0
CA,2018,39557045.0
CO,2018,5695564.0
CT,2018,3572665.0
DE,2018,967171.0
DC,2018,702455.0
FL,2018,21299325.0
GA,2018,10519475.0
HI,2018,1420491.0
ID,2018,1754208.0
IL,2018,12741080.0
IN,2018,6691878.0
IA,2018,3156145.0
KS,2018,2911505.0
KY,2018,4468402.0
LA,2018,4659978.0
ME,2018,1338404.0
MD,2018,6042718.0
MA,2018,6902149.0
MI,2018,9995915.0
MN,2018,5611179.0
MS,2018,2986530.0
MO,2018,6126452.0
MT,2018,1062305.0
NE,2018,1929268.0
NV,2018,3034392.0
NH,2018,1356458.0
NJ,2018,8908520.0
NM,2018,2095428.0
NY,2018,19542209.0
NC,2018,10383620.0
ND,2018,760077.0
OH,2018,11689442.0
OK,2018,3943079.0
OR,2018,4190713.0
PA,2018,12807060.0
RI,2018,1057315.0
SC,2018,5084127.0
SD,2018,882235.0
TN,2018,6770010.0
TX,2018,28701845.0
UT,2018,3161105.0
VT,2018,626299.0
VA,2018,8517685.0
WA,2018,7535591.0
WV,2018,1805832.0
WI,2018,5813568.0
WY,2018,577737.0
