State,Total Beds,Participation,Year
AK,1697,0.745,2009
AL,4065,0.42200000000000004,2009
AR,1802,0.747,2009
AZ,9066,0.8440000000000001,2009
CA,52397,0.64,2009
CO,6363,0.851,2009
CT,4043,0.884,2009
DC,6202,0.8440000000000001,2009
DE,1197,0.623,2009
FL,22376,0.752,2009
GA,10584,0.821,2009
GU,234,0.934,2009
HI,4210,0.996,2009
IA,4288,0.8109999999999999,2009
ID,1944,0.6729999999999999,2009
IL,13153,0.7340000000000001,2009
IN,7608,0.5429999999999999,2009
KS,1399,0.726,2009
KY,5250,0.82,2009
LA,5070,0.7240000000000001,2009
MA,15036,0.867,2009
MD,6026,0.8540000000000001,2009
ME,2774,0.76,2009
MI,12059,0.858,2009
MN,7171,0.8140000000000001,2009
MO,7391,0.742,2009
MS,1451,0.461,2009
MT,1214,0.556,2009
NC,9639,0.705,2009
ND,790,0.9470000000000001,2009
NE,3189,0.797,2009
NH,1356,0.9079999999999999,2009
NJ,6809,0.9570000000000001,2009
NM,2743,0.541,2009
NV,8397,0.363,2009
NY,60070,0.9079999999999999,2009
OH,10757,0.883,2009
OK,3661,0.49,2009
OR,8563,0.5720000000000001,2009
PA,16112,0.852,2009
PR,2038,0.721,2009
RI,1450,0.8029999999999999,2009
SC,4261,0.784,2009
SD,1379,0.359,2009
TN,5725,0.708,2009
TX,22449,0.614,2009
UT,3215,0.7829999999999999,2009
VA,7947,0.621,2009
VI,123,1.038,2009
VT,791,0.588,2009
WA,17927,0.706,2009
WI,5989,0.875,2009
WV,1853,0.701,2009
WY,739,0.353,2009
Total,424042,,2009
AK,1805,0.74,2010
AL,4221,0.43700000000000006,2010
AR,2700,0.691,2010
AZ,8914,0.8740000000000001,2010
CA,50282,0.64,2010
CO,6420,0.8759999999999999,2010
CT,3921,0.914,2010
DC,6375,0.865,2010
DE,1233,0.635,2010
FL,23362,0.723,2010
GA,9965,0.795,2010
GU,240,0.972,2010
HI,4259,0.991,2010
IA,3978,0.848,2010
ID,1905,0.636,2010
IL,13555,0.743,2010
IN,7661,0.546,2010
KS,2787,0.67,2010
KY,5556,0.821,2010
LA,5148,0.785,2010
MA,15509,0.853,2010
MD,5900,0.872,2010
ME,2724,0.9,2010
MI,11822,0.895,2010
MN,7325,0.762,2010
MO,7440,0.767,2010
MS,1376,0.46399999999999997,2010
MT,1170,0.526,2010
NC,9968,0.74,2010
ND,850,1.0,2010
NE,3490,0.816,2010
NH,1374,0.897,2010
NJ,6845,0.9740000000000001,2010
NM,2692,0.561,2010
NV,3971,0.7609999999999999,2010
NY,63841,0.9059999999999999,2010
OH,11324,0.861,2010
OK,3633,0.634,2010
OR,7640,0.544,2010
PA,15745,0.841,2010
PR,2019,0.887,2010
RI,1215,0.893,2010
SC,3508,0.774,2010
SD,1379,0.348,2010
TN,6202,0.6409999999999999,2010
TX,22393,0.637,2010
UT,2922,0.89,2010
VA,7949,0.718,2010
VI,148,0.647,2010
VT,786,0.605,2010
WA,18071,0.785,2010
WI,6008,0.8640000000000001,2010
WV,2002,0.732,2010
WY,904,0.40700000000000003,2010
Total,424432,,2010
AK,1939,0.8190000000000001,2011
AL,4497,0.518,2011
AR,2710,0.672,2011
AZ,8748,0.861,2011
CA,49657,0.7020000000000001,2011
CO,6361,0.88,2011
CT,3906,0.8740000000000001,2011
DC,6479,0.862,2011
DE,1216,0.595,2011
FL,23974,0.75,2011
GA,11167,0.6679999999999999,2011
GU,264,0.975,2011
HI,4250,0.956,2011
IA,3982,0.8540000000000001,2011
ID,1895,0.617,2011
IL,13045,0.757,2011
IN,7245,0.611,2011
KS,2942,0.642,2011
KY,5389,0.682,2011
LA,5073,0.772,2011
MA,14567,0.8759999999999999,2011
MD,6284,0.8290000000000001,2011
ME,2801,0.884,2011
MI,12108,0.87,2011
MN,6973,0.7340000000000001,2011
MO,8136,0.754,2011
MS,1373,0.46299999999999997,2011
MT,1207,0.503,2011
NC,10277,0.723,2011
ND,739,0.993,2011
NE,3807,0.8390000000000001,2011
NH,1360,0.889,2011
NJ,7576,0.953,2011
NM,2797,0.505,2011
NV,4775,0.5579999999999999,2011
NY,64083,0.888,2011
OH,11693,0.863,2011
OK,3632,0.68,2011
OR,7377,0.579,2011
PA,16363,0.8270000000000001,2011
PR,2053,0.966,2011
RI,1300,0.853,2011
SC,3791,0.747,2011
SD,1319,0.324,2011
TN,6746,0.595,2011
TX,24323,0.674,2011
UT,2954,0.823,2011
VA,7690,0.746,2011
VI,195,1.0,2011
VT,805,0.696,2011
WA,16669,0.81,2011
WI,6692,0.895,2011
WV,1878,0.7090000000000001,2011
WY,753,0.72,2011
Total,429835,,2011
AK,1877,0.835,2012
AL,4297,0.48200000000000004,2012
AR,2662,0.6459999999999999,2012
AZ,9238,0.862,2012
CA,47144,0.757,2012
CO,6536,0.9129999999999999,2012
CT,3539,0.9279999999999999,2012
DC,6243,0.862,2012
DE,1239,0.517,2012
FL,23272,0.7809999999999999,2012
GA,9534,0.777,2012
GU,259,0.9420000000000001,2012
HI,4230,0.9940000000000001,2012
IA,3627,0.851,2012
ID,1795,0.634,2012
IL,13246,0.764,2012
IN,7389,0.5770000000000001,2012
KS,3085,0.49,2012
KY,4547,0.779,2012
LA,5041,0.7609999999999999,2012
MA,14782,0.894,2012
MD,5769,0.8290000000000001,2012
ME,2675,0.946,2012
MI,11827,0.897,2012
MN,6879,0.743,2012
MO,8253,0.645,2012
MS,1542,0.721,2012
MT,1411,0.348,2012
NC,10071,0.7929999999999999,2012
ND,724,0.971,2012
NE,3667,0.882,2012
NH,1353,0.902,2012
NJ,7882,0.935,2012
NM,2545,0.44799999999999995,2012
NV,4630,0.655,2012
NY,69190,0.903,2012
OH,12499,0.857,2012
OK,4013,0.688,2012
OR,7249,0.58,2012
PA,16050,0.847,2012
PR,2199,0.853,2012
RI,1162,0.9229999999999999,2012
SC,4825,0.67,2012
SD,1444,0.42,2012
TN,6492,0.608,2012
TX,22880,0.693,2012
UT,3020,0.8540000000000001,2012
VA,7514,0.75,2012
VI,158,1.0,2012
VT,981,0.5870000000000001,2012
WA,16966,0.8190000000000001,2012
WI,6384,0.9009999999999999,2012
WV,1874,0.688,2012
WY,817,0.7709999999999999,2012
Total,428527,,2012
AK,1895,0.802,2013
AL,4077,0.556,2013
AR,2561,0.589,2013
AZ,8982,0.885,2013
CA,45411,0.78,2013
CO,7744,0.857,2013
CT,3634,0.924,2013
DC,7854,0.9259999999999999,2013
DE,1263,0.598,2013
FL,24292,0.746,2013
GA,9371,0.8079999999999999,2013
GU,193,0.914,2013
HI,4112,0.987,2013
IA,3828,0.799,2013
ID,1996,0.6729999999999999,2013
IL,12787,0.805,2013
IN,7758,0.609,2013
KS,3120,0.635,2013
KY,4970,0.738,2013
LA,4662,0.78,2013
MA,18047,0.897,2013
MD,6080,0.816,2013
ME,3243,0.9359999999999999,2013
MI,11385,0.888,2013
MN,7126,0.7659999999999999,2013
MO,7761,0.701,2013
MS,1823,0.727,2013
MT,1493,0.39399999999999996,2013
NC,10834,0.789,2013
ND,729,0.903,2013
NE,3728,0.8759999999999999,2013
NH,1410,0.915,2013
NJ,8285,0.9420000000000001,2013
NM,2592,0.516,2013
NV,3929,0.88,2013
NY,75992,0.889,2013
OH,13301,0.877,2013
OK,4211,0.7040000000000001,2013
OR,7922,0.644,2013
PA,16370,0.8540000000000001,2013
PR,2003,0.95,2013
RI,1181,0.941,2013
SC,4149,0.841,2013
SD,1588,0.37799999999999995,2013
TN,6979,0.57,2013
TX,22582,0.633,2013
UT,3188,0.9179999999999999,2013
VA,7935,0.802,2013
VI,151,0.8759999999999999,2013
VT,1414,0.183,2013
WA,18551,0.8390000000000001,2013
WI,6701,0.8909999999999999,2013
WV,1980,0.6509999999999999,2013
WY,905,0.7020000000000001,2013
Total,446078,,2013
AK,1814,0.5684,2014
AL,3724,0.5329999999999999,2014
AR,2151,0.4389,2014
AZ,8873,0.6833,2014
CA,44035,0.7057,2014
CO,8466,0.6923,2014
CT,3411,0.8499,2014
DC,7281,0.9099,2014
DE,1172,0.628,2014
FL,22316,0.7289,2014
GA,9256,0.6366,2014
GU,186,0.8602,2014
HI,4336,0.9446,2014
IA,3643,0.6473,2014
ID,1768,0.5074,2014
IL,12676,0.7391,2014
IN,6842,0.4772,2014
KS,3188,0.5684,2014
KY,4262,0.6199,2014
LA,4574,0.6935,2014
MA,15471,0.8208,2014
MD,5950,0.7452,2014
ME,2730,0.8037,2014
MI,10643,0.7385,2014
MN,7336,0.7297,2014
MO,7284,0.4125,2014
MS,1607,0.5986,2014
MT,1337,0.3381,2014
NC,9724,0.6484,2014
ND,936,0.6613,2014
NE,3446,0.6912,2014
NH,1398,0.8169,2014
NJ,7561,0.8322,2014
NM,2325,0.3819,2014
NV,5175,0.8578,2014
NY,78506,0.8365,2014
OH,10759,0.7208,2014
OK,3880,0.6142,2014
OR,6924,0.5529999999999999,2014
PA,15922,0.7571,2014
PR,1962,0.7839,2014
RI,1225,0.7796,2014
SC,3473,0.6404,2014
SD,1747,0.336,2014
TN,6791,0.5543,2014
TX,22443,0.5452,2014
UT,2740,0.6577,2014
VA,6274,0.6398,2014
VI,127,0.5512,2014
VT,1040,0.275,2014
WA,14886,0.6823,2014
WI,6504,0.7126,2014
WV,1965,0.6579999999999999,2014
WY,815,0.4147,2014
Total,424880,0.7102,2014
AK,1860,0.6097,2015
AL,3613,0.4968,2015
AR,2486,0.4051,2015
AZ,7473,0.7601,2015
CA,45929,0.6559,2015
CO,7653,0.6753,2015
CT,3399,0.8226,2015
DC,6963,0.9154,2015
DE,1146,0.5419,2015
FL,22026,0.7340000000000001,2015
GA,9219,0.6075,2015
GU,154,0.6494,2015
HI,4363,0.9108,2015
IA,3606,0.5588,2015
ID,1859,0.5056,2015
IL,11975,0.7147,2015
IN,6511,0.4927,2015
KS,2979,0.5485,2015
KY,4087,0.6469,2015
LA,4028,0.6631,2015
MA,17707,0.862,2015
MD,6076,0.7556,2015
ME,2576,0.7904,2015
MI,10337,0.7478,2015
MN,6779,0.7097,2015
MO,6700,0.423,2015
MS,1498,0.5834,2015
MT,1224,0.3162,2015
NC,9337,0.6215,2015
ND,966,0.7381,2015
NE,2973,0.6572,2015
NH,1369,0.7904,2015
NJ,7737,0.8224,2015
NM,2277,0.3948,2015
NV,4466,0.8659,2015
NY,86578,0.8489,2015
OH,10273,0.7409,2015
OK,3804,0.6209,2015
OR,6144,0.5329999999999999,2015
PA,16140,0.7483,2015
PR,2112,0.7884,2015
RI,1142,0.7636,2015
SC,3755,0.5526,2015
SD,1460,0.4541,2015
TN,6981,0.5021,2015
TX,20812,0.5515,2015
UT,2760,0.6395,2015
VA,6077,0.6702,2015
VI,128,0.4844,2015
VT,903,0.247,2015
WA,14476,0.6807,2015
WI,6703,0.7016,2015
WV,1815,0.6242,2015
WY,853,0.5920000000000001,2015
Total,426267,0.7104,2015
AK,1826,0.684,2016
AL,3489,0.5535,2016
AR,2394,0.3789,2016
AZ,6942,0.7783,2016
CA,42351,0.6759999999999999,2016
CO,7656,0.563,2016
CT,3236,0.8359,2016
DC,8314,0.9252,2016
DE,1170,0.5991,2016
FL,21575,0.7365,2016
GA,8792,0.5635,2016
GU,146,0.6849,2016
HI,4412,0.9549,2016
IA,3568,0.6732,2016
ID,1906,0.469,2016
IL,11381,0.7829999999999999,2016
IN,6479,0.4726,2016
KS,2462,0.5735,2016
KY,3797,0.674,2016
LA,3675,0.6906,2016
MA,17382,0.8673,2016
MD,6138,0.7819,2016
ME,2484,0.7568,2016
MI,9261,0.7201,2016
MN,6871,0.7235,2016
MO,6529,0.5404,2016
MS,1383,0.5633,2016
MT,1257,0.2761,2016
NC,8641,0.648,2016
ND,980,0.6509999999999999,2016
NE,2733,0.6956,2016
NH,1476,0.7392,2016
NJ,7127,0.8308,2016
NM,1880,0.4261,2016
NV,3577,0.799,2016
NY,84730,0.8812,2016
OH,9844,0.7627,2016
OK,3762,0.5747,2016
OR,5791,0.5597,2016
PA,15682,0.7317,2016
PR,2000,0.779,2016
RI,1122,0.7219,2016
SC,3721,0.5638,2016
SD,1157,0.3829,2016
TN,6979,0.5509,2016
TX,20297,0.5853,2016
UT,2499,0.6082,2016
VA,5942,0.6479,2016
VI,143,0.5734,2016
VT,752,0.4335,2016
WA,14627,0.6944,2016
WI,6404,0.6958,2016
WV,1731,0.6788,2016
WY,812,0.6342,2016
Total,411285,0.7272,2016
AK,1828,0.715,2017
AL,3444,0.4649,2017
AR,2062,0.3603,2017
AZ,5880,0.7806,2017
CA,44473,0.5788,2017
CO,7071,0.4547,2017
CT,3094,0.8617,2017
DC,7402,0.9088,2017
DE,1143,0.5678,2017
FL,19982,0.7379,2017
GA,8127,0.4994,2017
GU,129,0.6434,2017
HI,4252,0.9421,2017
IA,3266,0.6963,2017
ID,1691,0.4376,2017
IL,10177,0.7931,2017
IN,6142,0.47100000000000003,2017
KS,2516,0.436,2017
KY,3540,0.6353,2017
LA,3164,0.6944,2017
MA,16614,0.9122,2017
MD,5616,0.7689,2017
ME,2457,0.7761,2017
MI,8624,0.7033,2017
MN,7013,0.7433,2017
MO,6057,0.5541,2017
MP,41,0.0,2017
MS,1322,0.49700000000000005,2017
MT,1290,0.1124,2017
NC,8002,0.6568,2017
ND,1034,0.6673,2017
NE,2569,0.6594,2017
NH,1383,0.7939,2017
NJ,7001,0.8047,2017
NM,1674,0.405,2017
NV,3331,0.7688,2017
NY,87836,0.9236,2017
OH,9420,0.7341,2017
OK,3678,0.5797,2017
OR,6648,0.5955,2017
PA,14246,0.6968,2017
PR,1531,0.7982,2017
RI,1069,0.7119,2017
SC,2931,0.6534,2017
SD,1356,0.2212,2017
TN,6326,0.7409,2017
TX,19344,0.6147,2017
UT,2754,0.6885,2017
VA,5628,0.6496,2017
VI,132,0.6591,2017
VT,961,0.4912,2017
WA,14288,0.6834,2017
WI,5525,0.6885,2017
WV,1657,0.6355,2017
WY,698,0.7206,2017
Total,399439,0.7264,2017
AK,1940,0.7253,2018
AL,3188,0.5122,2018
AR,2362,0.29,2018
AZ,6683,0.6901,2018
CA,43548,0.6457,2018
CO,7532,0.4837,2018
CT,3417,0.8791,2018
DC,6721,0.8856,2018
DE,1122,0.5294,2018
FL,19554,0.7123,2018
GA,7363,0.4768,2018
GU,140,0.6357,2018
HI,3599,0.9297,2018
IA,3026,0.7194,2018
ID,1413,0.3432,2018
IL,10210,0.7917,2018
IN,5568,0.5409,2018
KS,2599,0.3902,2018
KY,2875,0.5297,2018
LA,2647,0.6721,2018
MA,17310,0.8971,2018
MD,5529,0.7777,2018
ME,2734,0.8204,2018
MI,8531,0.6883,2018
MN,6660,0.7347,2018
MO,5624,0.503,2018
MP,30,0.0,2018
MS,1079,0.5829,2018
MT,1376,0.1097,2018
NC,7963,0.6672,2018
ND,726,0.6722,2018
NE,2390,0.5895,2018
NH,1349,0.8095,2018
NJ,7099,0.835,2018
NM,1651,0.3816,2018
NV,3033,0.7879999999999999,2018
NY,88063,0.8515,2018
OH,9269,0.7288,2018
OK,3339,0.5852,2018
OR,6419,0.5359,2018
PA,12909,0.7145,2018
PR,955,0.8031,2018
RI,1003,0.7248,2018
SC,3001,0.6195,2018
SD,1090,0.156,2018
TN,5674,0.4813,2018
TX,18006,0.5877,2018
UT,2968,0.6546,2018
VA,5303,0.6562,2018
VI,205,0.3317,2018
VT,937,0.6681,2018
WA,15016,0.6551,2018
WI,4721,0.6933,2018
WV,1593,0.6497,2018
WY,560,0.7161,2018
Total,389622,0.7088,2018
